vendor,display_name,official_website_url,search_url_template,active_search_sku_1,active_search_sku_2,active_sample_status,active_sample_source,candidate_search_sku_1,candidate_search_sku_2,last_checked_utc,notes
Black Mamba Gloves,Black Mamba Gloves,https://www.blackmambagloves.com/,https://www.blackmambagloves.com/?s={sku},,,pending_verification,discovery_seed,BMG-OMG-110,BMG-OMG-120,,Fallback candidate only until runtime validation confirms live SKUs.
Black Rhino Wheels,Black Rhino Wheels,https://www.blackrhinowheels.com/,https://www.blackrhinowheels.com/catalogsearch/result/?q={sku},,,pending_verification,discovery_seed,BRW-1795ARY-88170G25,BRW-1795ARY-88170D25,,Fallback candidate only until runtime validation confirms live SKUs.
Blend Door USA,Blend Door USA,https://www.blenddoorusa.com/,https://www.blenddoorusa.com/search?q={sku},,,pending_verification,discovery_seed,BDUSA-5DR,BDUSA-MC5DR-ICG,,Fallback candidate only until runtime validation confirms live SKUs.
BorgWarner,BorgWarner,https://www.borgwarner.com/home,https://www.borgwarner.com/search?indexCatalogue=default&searchQuery={sku}&wordsMode=0,,,pending_verification,discovery_seed,BW-179425,BW-59001107387,,Fallback candidate only until runtime validation confirms live SKUs.
Borgeson,Borgeson,https://www.borgeson.com/,https://www.borgeson.com/?target=search&mode=search&substring={sku}&including=all,BG-800123,BG-800328,verified_runtime,end_to_end_validation,BG-800123,BG-800328,2026-03-10T04:06:48+00:00,Prefer these SKUs for future validation runs.
Borne Off-Road,Borne Off-Road,https://rogue-offroad.com/Borne-Off-Road_bymfg_275-0-1.html,https://www.borne.com/catalogsearch/result/?q={sku},,,pending_verification,discovery_seed,BOR-BNSB-8,BOR-BNRB-109BK,,Fallback candidate only until runtime validation confirms live SKUs.
Bosch,Bosch,https://www.bosch.us/,https://www.bosch.us/search.html?q={sku},,,pending_verification,discovery_seed,BOS-HP004X,BOSCH-0281006325,,Fallback candidate only until runtime validation confirms live SKUs.
Bubba Rope,Bubba Rope,https://www.bubbarope.com/,https://www.bubbarope.com/?s={sku},,,pending_verification,discovery_seed,BR-176000OR,BR-176016OR,,Fallback candidate only until runtime validation confirms live SKUs.
BuiltRight Industries,BuiltRight Industries,https://builtrightind.com/,https://builtrightind.com/search?q={sku},,,pending_verification,discovery_seed,BRI-104012,BRI-102014,,Fallback candidate only until runtime validation confirms live SKUs.
BulletProof Diesel,BulletProof Diesel,https://bulletproofdiesel.com/,https://bulletproofdiesel.com/search?q={sku},,,pending_verification,discovery_seed,BPD-6700001,BPD-6700002,,Fallback candidate only until runtime validation confirms live SKUs.
BulletProof Hitches,BulletProof Hitches,https://www.bulletproofhitches.com/,https://www.bulletproofhitches.com/search?q={sku},,,pending_verification,discovery_seed,BPH-MD204,BPH-MD204-MDSWAYCONTROLBALL,,Fallback candidate only until runtime validation confirms live SKUs.
Bully Dog,Bully Dog,https://bullydog.com/,https://bullydog.com/?s={sku},,,pending_verification,discovery_seed,BUL-30490,BUL-31310,,Fallback candidate only until runtime validation confirms live SKUs.
Bully Dog Big Rig,Bully Dog Big Rig,https://bullydogbigrig.com/products.php,https://bullydog.com/?s={sku},,,pending_verification,discovery_seed,Bul-56700,BUL-56700,,Fallback candidate only until runtime validation confirms live SKUs.
CJC Off-Road,CJC Off-Road,https://www.cjcoffroad.com/,https://www.cjcoffroad.com/search?q={sku},,,pending_verification,discovery_seed,CJC-3500-PLOW,CJC-SHOCKGUARD,,Fallback candidate only until runtime validation confirms live SKUs.
CNC Fabrication,CNC Fabrication,https://cncfabrication.com/,https://cncfabrication.com/?s={sku},,,pending_verification,discovery_seed,CNC-424005,CNC-424001,,Fallback candidate only until runtime validation confirms live SKUs.
CR2 Performance & Fabrication,CR2 Performance & Fabrication,https://cr2fabrication.com/pages/contact,https://cr2fabrication.com/search?q={sku},,,pending_verification,discovery_seed,CR2-10100,CR2-25300,,Fallback candidate only until runtime validation confirms live SKUs.
CSF Radiators,CSF Radiators,https://csfradiators.com/,https://csfradiators.com/?s={sku},,,pending_verification,discovery_seed,CSF-6076,CSF-7062,,Fallback candidate only until runtime validation confirms live SKUs.
Calibrated Power,Calibrated Power,https://duramaxtuner.com/,https://duramaxtuner.com/search.html?Search={sku},,,pending_verification,discovery_seed,CP-03046LPS,CP-CPS200232,,Fallback candidate only until runtime validation confirms live SKUs.
Camburg Suspension,Camburg Suspension,https://www.suspensionlifts.com/brand/camburg/,https://www.suspensionlifts.com/?post_type=product&s={sku}&asp_active=1&p_asid=1&p_asp_data=1&filters_initial=1&filters_changed=0&qtranslate_lang=0&woo_currency=USD&current_page_id=701,,,pending_verification,discovery_seed,CAM-030061,CAM-030049,,Fallback candidate only until runtime validation confirms live SKUs.
Carli Suspension,Carli Suspension,https://www.carlisuspension.com/,https://www.carlisuspension.com/?s={sku},,,pending_verification,discovery_seed,CS-FLC-05,CS-RAM15MRC-09-R,,Fallback candidate only until runtime validation confirms live SKUs.
Cataclean,Cataclean,https://cataclean.com/,https://cataclean.com/?s={sku},,,pending_verification,discovery_seed,CAC-120007,CAC-120020CAT,,Fallback candidate only until runtime validation confirms live SKUs.
Centerforce Performance Clutch,Centerforce Performance Clutch,https://www.centerforce.com/,https://www.centerforce.com/search.html?q={sku},,,pending_verification,discovery_seed,CFC-N1774,CFC-315474898,,Fallback candidate only until runtime validation confirms live SKUs.
Clampco,Clampco,https://www.clampco.com/about/,https://clampco.com/?s={sku},,,pending_verification,discovery_seed,DPP-94158-0300,DPP-94158-0325,,Fallback candidate only until runtime validation confirms live SKUs.
Clutch Masters,Clutch Masters,https://clutchmasters.com/,https://clutchmasters.com/search.html?q={sku},,,pending_verification,discovery_seed,CM-05CM2-TD12R-S,CM-05CM3-TD12R-S,,Fallback candidate only until runtime validation confirms live SKUs.
Cognito Motorsports Suspension,Cognito Motorsports Suspension,https://cognitomotorsports.com/,https://cognitomotorsports.com/catalogsearch/result/?q={sku},,,pending_verification,discovery_seed,CM-110-90715,CM-110-90283,,Fallback candidate only until runtime validation confirms live SKUs.
ComeUp Winch,ComeUp Winch,https://www.comeupwinch.com/,https://comeupwinch.com/search.php?search_query={sku},,,pending_verification,discovery_seed,CU-295620,CU-295660,,Fallback candidate only until runtime validation confirms live SKUs.
Cometic Gaskets,Cometic Gaskets,https://www.cometic.com/,https://cometic.com/products/search?q={sku},,,pending_verification,discovery_seed,COM-C4514,COM-PRO3004T-054,,Fallback candidate only until runtime validation confirms live SKUs.
Complete Performance,Complete Performance,https://cpaddict.com/,https://cpaddict.com/search?q={sku},,,pending_verification,discovery_seed,CP-310,CP-2WD-LK,,Fallback candidate only until runtime validation confirms live SKUs.
Crown Brake Lines,Crown Brake Lines,https://crownperformance.com/,https://crownperformance.com/search.php?search_query={sku},,,pending_verification,discovery_seed,CROWN-GM77FR-00-CLE,CROWN-FORD92FR-0-CLE,,Fallback candidate only until runtime validation confirms live SKUs.
Cummins Diesel Parts,Cummins Diesel Parts,https://parts.cummins.com/esn-entry/main,https://parts.cummins.com/global-search/main/{sku},,,pending_verification,discovery_seed,DPP-12VB,CMNS-5594275,,Fallback candidate only until runtime validation confirms live SKUs.
Custom Battery Cables,Custom Battery Cables,https://custombatterycables.com/,https://custombatterycables.com/?s={sku},,,pending_verification,discovery_seed,CBC-781,CBC-6557,,Fallback candidate only until runtime validation confirms live SKUs.
Customs Unlimited,Customs Unlimited,https://customsunlimited.com/pages/about-us,https://customsunlimited.com/search?q={sku},,,pending_verification,discovery_seed,CU-284-N-A13,CU-INL-STHF-800,,Fallback candidate only until runtime validation confirms live SKUs.
D&J Precision Machine,D&J Precision Machine,https://djprecisionmachine.com/,https://djprecisionmachine.com/search?q={sku},,,pending_verification,discovery_seed,DJ-DJPLB100076,DJ-DJPLB100078,,Fallback candidate only until runtime validation confirms live SKUs.
Dana / Spicer,Dana / Spicer,https://www.dana.com/,https://www.dana.com/search/?q={sku},,,pending_verification,discovery_seed,SPICER-SPL55-3X,DANA-DS U-925,,Fallback candidate only until runtime validation confirms live SKUs.
Dayco,Dayco,https://www.dayco.com/,https://www.dayco.com/na-en/?s={sku},,,pending_verification,discovery_seed,DC-71716,DC-5081260,,Fallback candidate only until runtime validation confirms live SKUs.
Daystar,Daystar,https://daystarproducts.com/pages/dealer-locator,https://daystarproducts.com/search?q={sku},,,pending_verification,discovery_seed,DAY-KU31001,DAY-KU09140BK,,Fallback candidate only until runtime validation confirms live SKUs.
"Deaver Spring, Inc.","Deaver Spring, Inc.",https://deaverspring.com/,https://deaverspring.com/?s={sku},,,pending_verification,discovery_seed,DS-G7,DS-F58,,Fallback candidate only until runtime validation confirms live SKUs.
Dethloff,Dethloff Mfg,https://dethloffmfg.com/,https://dethloffmfg.com/?s={sku},,,pending_verification,discovery_seed,DL-IG-19,DL-ARB-RB-BACKPLATE,,Fallback candidate only until runtime validation confirms live SKUs.
DiabloSport,DiabloSport,https://diablosportco.com/,https://diablosportco.com/?s={sku},,,pending_verification,discovery_seed,DS-8145,DS-7103-D,,Fallback candidate only until runtime validation confirms live SKUs.
Diamond Eye Performance,Diamond Eye Performance,https://www.diamondeyeperformance.com/,https://www.diamondeyeperformance.com/?s={sku},,,pending_verification,discovery_seed,DE-L20AA,DE-K3264S,,Fallback candidate only until runtime validation confirms live SKUs.
Diesel Power Products,Diesel Power Products,https://www.dieselpowerproducts.com/pages/contact,https://dieselpowerproducts.com/search?q={sku},,,pending_verification,discovery_seed,DPP-506,CORECHARGE-10,,Fallback candidate only until runtime validation confirms live SKUs.
Diesel Rx,Diesel Rx,https://dieselrx.com/,https://dieselrx.com/search?q={sku},,,pending_verification,discovery_seed,DRX01005,,,Fallback candidate only until runtime validation confirms live SKUs.
DieselSite,DieselSite,https://www.dieselsite.com/,https://www.dieselsite.com/search.aspx?find={sku},,,pending_verification,discovery_seed,DS-4WD,DS-DS203,,Fallback candidate only until runtime validation confirms live SKUs.
Diode Dynamics,Diode Dynamics,https://www.diodedynamics.com/,https://www.diodedynamics.com/catalogsearch/result/?q={sku},,,pending_verification,discovery_seed,DD-DD7120,DIO-DD7581,,Fallback candidate only until runtime validation confirms live SKUs.
Dipaco DTech Diesel Parts,Dipaco DTech Diesel Parts,https://usdieselparts.com/,https://usdieselparts.com/search/?query={sku},,,pending_verification,discovery_seed,DT-650017,DT-DT650001R,,Fallback candidate only until runtime validation confirms live SKUs.
Dirt Church Industries,Dirt Church Industries,https://dirtchurchindustries.com/,https://dirtchurchindustries.com/search?q={sku},,,pending_verification,discovery_seed,ARB-CKMTA12,DCI-ARBCOMPKIT-23,,Fallback candidate only until runtime validation confirms live SKUs.
Dorman,Dorman,https://www.dormanproducts.com/,https://www.dormanproducts.com/gsearch.aspx?type=oesearch&origin=oesearch&q={sku},,,pending_verification,discovery_seed,DOR-600-202,DOR-679-005,,Fallback candidate only until runtime validation confirms live SKUs.
Driven Diesel,Driven Diesel,http://www.drivendiesel.com/,https://www.strictlydiesel.com/isearch3?searchterm={sku},,,pending_verification,discovery_seed,DD-73L-OBA,DD-73FS-OBSFS-1P-V2,,Fallback candidate only until runtime validation confirms live SKUs.
Dually Design Co.,Dually Design Co.,https://ddcwheels.com/brand/dually-design-co/,https://ddcwheels.com/?s={sku},,,pending_verification,discovery_seed,DDC-F14K40,DDC-F916K32,,Fallback candidate only until runtime validation confirms live SKUs.
DuramaxTuner.com,DuramaxTuner.com,https://duramaxtuner.com/,https://duramaxtuner.com/search.html?q={sku},,,pending_verification,discovery_seed,DT-CPS200340,DT-DM1361070080900,,Fallback candidate only until runtime validation confirms live SKUs.
Dynatrac,Dynatrac,https://www.dynatrac.com/pages/about-us,https://www.dynatrac.com/search?q={sku},,,pending_verification,discovery_seed,DYN-BJK-D60A,DYN-GM60-3B396-BA,,Fallback candidate only until runtime validation confirms live SKUs.
Dynomite Diesel,Dynomite Diesel,https://dynomitediesel.com/,https://dynomitediesel.com/search?type=product&q={sku},,,pending_verification,discovery_seed,DDP-67CON,DDP-505-50-LEVEL1,,Fallback candidate only until runtime validation confirms live SKUs.
EBC Brakes,EBC Brakes,https://www.ebcbrakes.com/,https://www.ebcbrakes.com/?s={sku},,,pending_verification,discovery_seed,EBC-GD7509,EBC-S3KF1122,,Fallback candidate only until runtime validation confirms live SKUs.
EMF Ball Joints,EMF Ball Joints,https://emfballjoints.com/collections,https://emfballjoints.com/search?q={sku},,,pending_verification,discovery_seed,EMF-DSB-3999-PAIR,EMF-8607-80026-KIT,,Fallback candidate only until runtime validation confirms live SKUs.
EMP Shield,EMP Shield,https://www.empshield.com/,https://www.empshield.com/?s={sku},,,pending_verification,discovery_seed,EMP-DC-12V-W,EMP-DC-24V-W,,Fallback candidate only until runtime validation confirms live SKUs.
EZ LYNK,EZ LYNK,https://www.ezlynk.com/,,,,pending_verification,discovery_seed,EZ-100EE00AA3,,,Fallback candidate only until runtime validation confirms live SKUs.
Eastern Industries,Eastern Industries,http://eastern-industries.com/,,,,pending_verification,discovery_seed,EI-18-1575,EI-18-1575NT,,Fallback candidate only until runtime validation confirms live SKUs.
Edge Products,Edge Products,https://www.edgeproducts.com/,https://www.edgeproducts.com/search/?q={sku},,,pending_verification,discovery_seed,EDG-28405,EDG-15001-1,,Fallback candidate only until runtime validation confirms live SKUs.
Empire Performance Engineering,Empire Performance Engineering,https://empireperformance.com.au/,https://empireperformance.com.au/search?type=product&q={sku},,,pending_verification,discovery_seed,,,,Fallback candidate only until runtime validation confirms live SKUs.
Expedition One,Expedition One,https://www.expeditiononestore.com/,https://www.expeditiononestore.com/search.asp?keyword={sku},,,pending_verification,discovery_seed,EXP1-FORDSD-17-FB-PC,EXP1-RAM25/35-19+FB-BARE,,Fallback candidate only until runtime validation confirms live SKUs.
Extend,Extend,https://www.extend.com/,,,,pending_verification,discovery_seed,Extend-Protection-Plan-0.09,EXTEND-PROTECTION-PLAN-0.09,,Fallback candidate only until runtime validation confirms live SKUs.
FASS EGR Solutions,FASS EGR Solutions,https://fassegrsolutions.com/,,,,pending_verification,discovery_seed,FASS-EGRC17,FASS-EGRF17,,Fallback candidate only until runtime validation confirms live SKUs.
FASS Fuel Systems,FASS Fuel Systems,https://www.fassride.com/,https://shop.fassride.com/Products/Search?search={sku},,,pending_verification,discovery_seed,DDP-RK-04,FASS-PFD-1001,,Fallback candidate only until runtime validation confirms live SKUs.
FOX Shocks,FOX Shocks,https://ridefox.com/,https://ridefox.com/search?q={sku},,,pending_verification,discovery_seed,FOX-98502127,FOX-803-02-044,,Fallback candidate only until runtime validation confirms live SKUs.
Factor 55,Factor 55,https://www.factor55.com/,https://www.factor55.com/search?q={sku},,,pending_verification,discovery_seed,FF-00013,F55-00420-01,,Fallback candidate only until runtime validation confirms live SKUs.
Factory Aftermarket,Factory Aftermarket,https://factoryaftermarket.com/collections/all,https://factoryaftermarket.com/search?q={sku},,,pending_verification,discovery_seed,FA-FSD-CS-2022,FA-FSD-CS-2023,,Fallback candidate only until runtime validation confirms live SKUs.
Fairchild Industries,Fairchild Industries,https://fairchildindustries.com/,https://fairchildindustries.com/search/{sku}/,,,pending_verification,discovery_seed,FI-F3019,FI-F1001,,Fallback candidate only until runtime validation confirms live SKUs.
Fast Coolers,Fast Coolers,https://www.fastcoolers.com/,https://www.fastcoolers.com/search?q={sku},,,pending_verification,discovery_seed,FC-2FCVR,FC-FILTER KIT,,Fallback candidate only until runtime validation confirms live SKUs.
Fender Gripper,Fender Gripper,https://www.holley.com/brands/fender_gripper/,https://www.holley.com/search/?q={sku},,,pending_verification,discovery_seed,FND-FG2001,FND-ELFG2001,,Fallback candidate only until runtime validation confirms live SKUs.
Fleece Performance Engineering,Fleece Performance Engineering,https://www.fleeceperformance.com/,https://www.fleeceperformance.com/catalogsearch/result/?q={sku},,,pending_verification,discovery_seed,FPE-CP3X2,FPE-RBC-1.5-0.5,,Fallback candidate only until runtime validation confirms live SKUs.
Fleetguard Filters,Fleetguard Filters,https://fleet-reliable-filters.com/catalogs,https://fleet-reliable-filters.com/catalogsearch/result/index/?q={sku},,,pending_verification,discovery_seed,FG-LF9028,FG-FS19856,,Fallback candidate only until runtime validation confirms live SKUs.
Flex-A-Lite,Flex-A-Lite,https://flex-a-lite.com/,https://flex-a-lite.com/catalogsearch/result/?q={sku},,,pending_verification,discovery_seed,FAL-103961,FAL-104641,,Fallback candidate only until runtime validation confirms live SKUs.
Flowmaster,Flowmaster,https://the-flowmaster.com/,https://the-flowmaster.com/?s={sku},,,pending_verification,discovery_seed,FM-1078,FM-854040-10,,Fallback candidate only until runtime validation confirms live SKUs.
Fluidampr,Fluidampr,https://fluidampr.com/,https://fluidampr.com/?s={sku},,,pending_verification,discovery_seed,FD-720211,FD-720221,,Fallback candidate only until runtime validation confirms live SKUs.
Flyin Diesel,Flyin Diesel,https://flyindiesel.com/,https://flyindiesel.com/search.html?q={sku},,,pending_verification,discovery_seed,FD-5967-BLACK,FD-5967-STAINLESS,,Fallback candidate only until runtime validation confirms live SKUs.
Ford Motor Company,Ford Motor Company,https://corporate.ford.com/about/brands/,https://www.ford.com/search/?f%3AsearchInputString={sku},,,pending_verification,discovery_seed,FA-1757,FORD-3C3Z6049ARM,,Fallback candidate only until runtime validation confirms live SKUs.
Frantz Oil Filters,Frantz Oil Filters,https://www.frantzfilters.com/,https://www.frantzfilters.com/?s={sku},,,pending_verification,discovery_seed,FOF-FKPWR60,FOF-FKPWR73,,Fallback candidate only until runtime validation confirms live SKUs.
Fuel Bomb,Fuel Bomb,https://fuelbomb.com/,https://fuelbomb.com/?s={sku},,,pending_verification,discovery_seed,FB-002,FB-001/2-CASE-CASE,,Fallback candidate only until runtime validation confirms live SKUs.
Fuelab,Fuelab,https://fuelab.com/,https://fuelab.com/search.html?q={sku},,,pending_verification,discovery_seed,FL-50102,FL-50101,,Fallback candidate only until runtime validation confirms live SKUs.
Full Force Diesel,Full Force Diesel,https://www.fullforcediesel.com/about-us/,https://www.fullforcediesel.com/search?show_in_vexture=Yes&Search={sku},,,pending_verification,discovery_seed,FFD-FFD143,FFD-FFD162,,Fallback candidate only until runtime validation confirms live SKUs.
